UEMPRATE,cartodb_id,borocode,withssi,withsocial,withpubass,struggling,profession,popunemplo,poptot,popover18,popinlabou,poororstru,poor,pacificune,pacificinl,pacific,otherunemp,otherinlab,otherethni,onlyprofes,onlymaster,onlylessth,onlyhighsc,onlydoctor,onlycolleg,onlybachel,okay,mixedunemp,mixedinlab,mixed,master,maleunempl,maleover18,male_pro,male_mastr,male_lesHS,male_HS,male_doctr,male_collg,male_BA,maleinlabo,maledrop,male16to19,male,lessthan10,lessthanhi,households,hispanicun,hispanicin,hispanic,highschool,field_1,femaleunem,femaleover,fem_profes,fem_master,fem_lessHS,fem_HS,fem_doctor,fem_colleg,fem_BA,femaleinla,femaledrop,femal16_19,female,europeanun,europeanin,european,doctorate,comm90plus,comm_less5,comm_60_89,comm_5_14,comm_45_59,comm_30_44,comm_15_29,college,bachelor,asianunemp,asianinlab,asian,americanun,americanin,american,africanune,africaninl,african,ntaname,boroname,popdty,ntacode,medianinco,medianagem,medianagef,medianage,HHsize,gini
0.1029062,21,4,270,4079,84,3907,847,1689,32331,25418,16413,5633,1726,0,0,0,49,538,1054,1071,3194,2833,20280,224,13639,7999,26473,33,222,557,2123,947,12030,466,1271,1352,9377,77,6522,3641,8742,21,783,15482,336,2833,11544,188,2411,4701,6641,156,742,13388,605,1923,1481,10903,147,7117,4358,7671,23,699,16849,1393,12702,25273,224,682,231,2513,2210,1351,3212,3561,5640,4805,213,2877,5220,0,0,29,1,74,198,Whitestone,Queens,109972.478,QN49,632863,333.6,347.4,343,2.8425,0.4153625
0.1033108,22,3,1163,3174,1258,15047,473,2902,54932,42106,28090,28895,13848,0,0,0,872,8393,16638,753,2698,14503,21335,280,13798,8093,23505,80,632,1581,1945,1285,22821,455,1388,7570,11813,203,7512,4122,16314,367,1298,29432,1798,14503,17023,1767,16355,34060,7537,13,1617,19285,298,1310,6933,9522,77,6286,3971,11776,193,1308,25500,1227,12746,24381,280,1845,258,5741,2252,4395,5685,3658,5705,5395,465,4552,8749,110,364,817,148,1402,2766,Sunset Park West,Brooklyn,848532.119,BK32,NA,454.6,489.2,464.1,NA,NA
0.1212121,23,4,0,60,0,49,0,24,438,368,198,64,15,0,0,0,0,0,4,0,28,88,235,0,189,102,302,0,10,10,28,24,145,0,8,31,101,0,83,38,93,0,15,196,0,88,162,0,36,65,46,176,0,223,0,20,57,134,0,106,64,105,0,13,242,24,115,271,0,0,6,73,0,15,53,13,87,74,0,64,93,0,0,0,0,9,60,park-cemetery-etc-Queens,Queens,NA,QN99,NA,NA,NA,NA,NA,NA
0.1341300,24,4,603,3123,239,4763,112,1897,26959,20692,14143,8198,3435,23,23,23,17,435,1243,153,1057,2854,15482,41,10258,3582,18405,0,26,129,904,888,8455,55,392,1361,6050,0,3754,1117,5938,48,715,11295,645,2854,9939,97,662,1952,5224,120,1009,12237,98,665,1493,9432,41,6504,2465,8205,68,742,15664,25,114,472,41,2110,118,2523,805,1352,2428,1945,6676,2525,0,228,454,0,12,12,1832,13221,24626,Springfield Gardens North,Queens,83415.27,QN02,169006,106,118.1,112.7,2.97666666666667,0.383066666666667
0.0642470,25,3,1218,3662,189,2966,142,439,15472,14185,6833,4786,1820,0,0,0,0,0,1,252,1810,1272,12146,110,8300,5413,10686,8,15,84,1558,214,5891,131,877,451,5153,48,3488,2449,2934,7,194,6552,920,1272,8026,0,32,169,3846,5,225,8294,121,933,821,6993,62,4812,2964,3899,0,117,8920,430,6618,15109,110,552,36,1843,534,686,1051,1340,2887,3603,0,46,110,0,0,0,1,92,168,West Brighton,Brooklyn,248939.42,BK23,158958,229,233.1,232.7,1.935,0.4605
0.1493091,26,3,1558,5944,1215,15492,453,5511,69397,54130,36910,30224,14732,0,0,0,361,1777,3751,602,3675,8671,37883,149,22900,10320,38380,59,623,1377,3073,2757,23351,312,1277,3953,15623,75,9149,4083,16552,84,1814,31645,2851,8671,26016,499,3161,7020,14983,28,2754,30779,290,2398,4718,22260,74,13751,6237,20358,118,1749,37752,351,4106,8055,149,2632,145,6175,2116,6546,7829,4027,12580,6645,51,737,1508,0,86,173,4689,29581,54533,Prospect Lefferts Gardens-Wingate,Brooklyn,1205452.098,BK60,726125,593.6,713.7,667.6,2.56555555555556,0.423022222222222
0.0506964,27,1,151,1851,118,1741,3089,1325,37506,32460,26136,4427,2686,0,0,0,3,668,1496,4313,10612,1149,26679,1224,25482,22078,31675,44,506,1146,6299,597,15801,2539,5494,389,13253,726,12658,10956,13786,0,478,18720,970,1149,18931,101,1973,3623,1197,107,728,16659,1774,5118,760,13426,498,12824,11122,12350,0,454,18786,797,18928,26482,1224,344,1069,809,4389,1484,6240,8913,3404,11466,387,5110,7133,1,14,41,93,910,1208,Battery Park City-Lower Manhattan,Manhattan,367771.299,MN25,904097,231,241.5,237.4,1.93142857142857,0.4898
0.1381307,28,3,1149,2224,213,2799,93,668,12822,10167,4836,6829,4030,0,0,0,0,282,869,148,905,1582,7249,55,4422,1999,5984,14,77,271,757,393,3083,85,178,576,2045,45,1009,388,1540,0,418,4442,1521,1582,6378,128,940,2696,2827,48,275,7084,63,727,1006,5204,10,3413,1611,3296,0,215,8380,134,1356,5022,55,447,16,721,350,908,1248,432,2423,1094,17,158,319,24,67,110,479,2896,6231,Starrett City,Brooklyn,62938.59,BK93,49725,60.6,91.8,84.1,2,0.4818
0.1603129,29,4,1047,2551,1325,6315,336,2418,35500,25029,15083,16573,10258,0,0,0,150,1385,2939,382,1088,5456,15971,46,8843,3543,17651,43,275,802,706,1274,10776,168,391,2107,6977,36,3896,1560,7069,66,1209,16469,2037,5456,12157,644,3747,9127,7128,127,1144,14253,214,697,3349,8994,10,4947,1983,8014,52,1117,19031,487,3373,8545,46,2169,129,2953,969,1292,2243,2085,5300,2455,39,359,966,47,91,153,1652,9555,22095,Hammels-Arverne-Edgemere,Queens,134121.34,QN12,338136,247.3,291.7,267.9,2.8475,0.456525
0.0000000,30,2,0,0,0,0,0,0,9741,9146,0,0,0,0,0,0,0,0,2205,5,12,4285,1930,5,867,127,0,0,0,200,7,0,8226,0,7,3763,1760,0,766,95,0,1168,1406,8821,0,4285,0,0,0,3304,1063,88,0,920,5,5,522,170,5,101,32,0,16,34,920,0,0,1421,5,0,0,0,0,0,0,0,740,115,0,0,202,0,0,7,0,0,5706,Rikers Island,Bronx,15974.23,BX98,NA,28.8,34.9,29.2,NA,NA
